Element,Z,Name,Electron affinity (eV),1st Ionization Potential (eV),Electronegativity
H,1,Hydrogen,0.7542,13.598,7.1761
He,2,Helium,-19.7,24.587,2.4435000000000002
Li,3,Lithium,0.61805,5.392,3.0050250000000003
Be,4,Beryllium,-2.4,9.322,3.4609999999999994
B,5,Boron,0.27972,8.298,4.28886
C,6,Carbon,1.26212,11.26,6.26106
N,7,Nitrogen,-1.4,14.534,6.567
O,8,Oxygen,1.46111,13.618,7.539555
F,9,Fluorine,3.40119,17.422,10.411595
Ne,10,Neon,,21.564,
Na,11,Sodium,0.54793,5.139,2.843465
Mg,12,Magnesium,-0.4,7.646,3.6229999999999998
Al,13,Aluminium,0.43283,5.986,3.209415
Si,14,Silicon,1.38952,8.151,4.77026
P,15,Phosphorus,0.74661,10.486,5.6163050000000005
S,16,Sulfur,2.0771,10.36,6.21855
Cl,17,Chlorine,3.61272,12.967,8.289860000000001
Ar,18,Argon,-11.5,15.759,2.1295
K,19,Potassium,0.50146,4.341,2.42123
Ca,20,Calcium,0.02455,6.113,3.068775
Sc,21,Scandium,0.188,6.54,3.364
Ti,22,Titanium,0.084,6.82,3.452
V,23,Vanadium,0.526,6.74,3.633
Cr,24,Chromium,0.67584,6.766,3.72092
Mn,25,Manganese,-1.0,7.435,3.2175
Fe,26,Iron,0.151,7.87,4.0105
Co,27,Cobalt,0.6633,7.86,4.26165
Ni,28,Nickel,1.15716,7.635,4.3960799999999995
Cu,29,Copper,1.23578,7.726,4.4808900000000005
Zn,30,Zinc,,9.394,
Ga,31,Gallium,0.43,5.999,3.2144999999999997
Ge,32,Germanium,1.23268,7.899,4.56584
As,33,Arsenic,0.8048,9.81,5.3074
Se,34,Selenium,2.0206,9.752,5.8863
Br,35,Bromine,3.36359,11.814,7.588795
Kr,36,Krypton,,13.999,
Rb,37,Rubidium,0.48592,4.177,2.33146
Sr,38,Strontium,0.05206,5.695,2.87353
Y,39,Yttrium,0.307,6.38,3.3435
Zr,40,Zirconium,0.427,6.84,3.6334999999999997
Nb,41,Niobium,0.894,6.88,3.887
Mo,42,Molybdenum,0.7473,7.099,3.92315
Tc,43,Technetium,,7.28,
Ru,44,Ruthenium,1.04638,7.37,4.20819
Rh,45,Rhodium,1.14289,7.46,4.301445
Pd,46,Palladium,0.56214,8.34,4.45107
Ag,47,Silver,1.30447,7.576,4.4402349999999995
Cd,48,Cadmium,,8.993,
In,49,Indium,0.38392,5.786,3.0849599999999997
Sn,50,Tin,1.11207,7.344,4.228035
Sb,51,Antimony,1.0474,8.641,4.8442
Te,52,Tellurium,1.97088,9.009,5.48994
I,53,Iodine,3.05905,10.451,6.755025
Xe,54,Xenon,-0.056,12.13,6.037000000000001
Cs,55,Caesium,0.47163,3.894,2.182815
Ba,56,Barium,0.14462,5.212,2.6783099999999997
La,57,Lanthanum,0.47,5.58,3.025
Ce,58,Cerium,0.57,5.54,3.055
Pr,59,Praseodymium,0.962,5.46,3.211
Nd,60,Neodymium,0.162,5.53,2.846
Pm,61,Promethium,0.129,5.554,2.8415
Sm,62,Samarium,0.162,5.64,2.901
Eu,63,Europium,0.116,5.67,2.893
Gd,64,Gadolinium,0.137,6.15,3.1435000000000004
Tb,65,Terbium,0.436,5.86,3.148
Dy,66,Dysprosium,0.352,5.94,3.1460000000000004
Ho,67,Holmium,0.338,6.018,3.178
Er,68,Erbium,0.312,6.101,3.2065
Tm,69,Thulium,1.029,6.184,3.6065
Yb,70,Ytterbium,0.0,6.254,3.127
Lu,71,Lutetium,0.346,5.4259,2.8859500000000002
Hf,72,Hafnium,0.114,6.65,3.382
Ta,73,Tantalum,0.323,7.89,4.1065
W,74,Tungsten,0.81626,7.98,4.39813
Re,75,Rhenium,0.15,7.88,4.015
Os,76,Osmium,1.0778,8.7,4.8889
Ir,77,Iridium,1.56436,9.1,5.33218
Pt,78,Platinum,2.1251,9.0,5.56255
Au,79,Gold,2.30861,9.225,5.766805
Hg,80,Mercury,,10.437,
Tl,81,Thallium,0.377,6.108,3.2424999999999997
Pb,82,Lead,0.364,7.416,3.89
Bi,83,Bismuth,0.94236,7.289,4.11568
Po,84,Polonium,1.32,8.42,4.87
At,85,Astatine,2.8,9.65,6.225
Rn,86,Radon,,10.748,
Fr,87,Francium,0.491,3.83,2.1605
Ra,88,Radium,,5.279,
Ac,89,Actinium,,5.17,
Th,90,Thorium,,6.08,
Pa,91,Protactinium,,5.89,
U,92,Uranium,,6.05,
Np,93,Neptunium,,6.19,
Pu,94,Plutonium,,6.06,
Am,95,Americium,,5.993,
Cm,96,Curium,,6.02,
Bk,97,Berkelium,,6.23,
Cf,98,Californium,,6.3,
Es,99,Einsteinium,,6.42,
Fm,100,Fermium,,6.5,
Md,101,Mendelevium,,6.58,
No,102,Nobelium,,6.65,
